Rank	Name	basename	Genre	ESRB_Rating	Platform	Publisher	Developer	VGChartz_Score	Critic_Score	User_Score	Total_Shipped	Global_Sales	NA_Sales	PAL_Sales	JP_Sales	Other_Sales	Year	Last_Update	url	status	Vgchartzscore	img_url
12045	Heroes of Hammerwatch	heroes-of-hammerwatch	Action-Adventure		PC	Crackshell	Crackshell				0.11						2018.0	03rd Apr 19	http://www.vgchartz.com/game/224225/heroes-of-hammerwatch/?region=All	1		/games/boxart/full_3422033AmericaFrontccc.jpg
12052	Evil Maze	evil-maze	Action		PC	ZOV GAME STUDIO	ZOV GAME STUDIO				0.11						2016.0	03rd Apr 19	http://www.vgchartz.com/game/224223/evil-maze/?region=All	1		/games/boxart/full_4282866AmericaFrontccc.jpg
12067	Pixel Puzzles 2: Space	pixel-puzzles-2-space	Puzzle		PC	DL Softworks	DL Softworks				0.11						2016.0	03rd Apr 19	http://www.vgchartz.com/game/224219/pixel-puzzles-2-space/?region=All	1		/games/boxart/full_9070611AmericaFrontccc.jpg
12077	Ace of Words	ace-of-words	Puzzle		PC	Ocean Software	ZeroBit Games				0.11						2016.0	03rd Apr 19	http://www.vgchartz.com/game/224211/ace-of-words/?region=All	1		/games/boxart/full_1615599AmericaFrontccc.jpg
12088	Mighty No. 9	mighty-no-9	Platform	E10	PC	Deep Silver	Comcept				0.11						2016.0	04th Jul 18	http://www.vgchartz.com/game/77090/mighty-no-9/?region=All	1		/games/boxart/full_8330333AmericaFrontccc.jpg
12090	HIVESWAP: ACT 1	hiveswap-act-1	Adventure		PC	What Pumpkin Games, Inc.	What Pumpkin Games, Inc.				0.11						2014.0	01st Apr 19	http://www.vgchartz.com/game/224209/hiveswap-act-1/?region=All	1		/games/boxart/full_3885224AmericaFrontccc.jpg
12091	Depth Hunter 2: Deep Dive	depth-hunter-2-deep-dive	Simulation		PC	Biart Design Studio	BiArt				0.11						2014.0	01st Apr 19	http://www.vgchartz.com/game/84215/depth-hunter-2-deep-dive/?region=All	1		/games/boxart/full_6567695AmericaFrontccc.jpg
12094	Dungeon Souls	dungeon-souls	Action-Adventure		PC	Black Shell Media	Lamina Studios				0.11						2016.0	01st Apr 19	http://www.vgchartz.com/game/224208/dungeon-souls/?region=All	1		/games/boxart/full_1380682AmericaFrontccc.jpg
12116	SimAirport	simairport	Simulation		PC	LVGameDev LLC	LVGameDev LLC				0.11						2017.0	01st Apr 19	http://www.vgchartz.com/game/224207/simairport/?region=All	1		/games/boxart/full_465331AmericaFrontccc.jpg
12130	Pro Evolution Soccer 2014	pro-evolution-soccer-2014	Sports	E	PC	Konami Digital Entertainment	Konami		8.3			0.11		0.1		0.01	2013.0	02nd Mar 18	http://www.vgchartz.com/game/76010/pro-evolution-soccer-2014/?region=All	1		/games/boxart/full_3918419PALFrontccc.jpg
12134	Cities XXL	cities-xxl	Simulation		PC	Focus Home Interactive	Focus Home Interactive				0.11						2015.0	22nd Sep 18	http://www.vgchartz.com/game/85135/cities-xxl/?region=All	1		/games/boxart/full_7368250PALFrontccc.jpg
